rgn2021+scotlandrgn_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"430,836","998,901","1,524,375"
North West,"1,005,271","2,776,564","4,767,659"
Yorkshire and The Humber,"749,828","2,005,338","3,498,761"
East Midlands,"503,708","1,678,891","3,648,607"
West Midlands,"694,073","2,066,732","4,339,292"
East of England,"449,689","2,015,956","4,885,816"
London,"2,029,025","3,602,842","4,493,271"
South East,"584,552","2,662,224","7,410,360"
South West,"427,420","1,898,315","4,457,775"
Scotland,"458,237","2,025,258","3,252,383"
Wales,"316,196","1,059,492","2,070,422"
TOTAL,"7,648,835","22,790,513","44,348,720"
