rgn2021+scotlandrgn_id,aged 15 years and under,aged 16 to 74 years,aged 75 and over
North East,"470,980","2,107,551","425,424"
North West,"1,477,065","6,135,881","1,079,553"
Yorkshire and The Humber,"1,063,044","4,472,858","822,787"
East Midlands,"961,136","4,172,409","795,824"
West Midlands,"1,282,157","5,049,037","886,996"
East of England,"1,236,673","5,203,867","1,034,183"
London,"1,656,622","7,740,796","898,733"
South East,"1,763,138","7,536,659","1,536,428"
South West,"1,029,530","4,773,472","1,095,559"
Scotland,"799,665","4,091,360","842,911"
Wales,"506,035","2,486,226","487,677"
TOTAL,"12,246,046","53,770,117","9,906,075"
