rgn2021+scotlandrgn_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"1,803,161","1,061,862"
North West,"4,918,916","3,308,148"
Yorkshire and The Humber,"3,623,342","2,404,116"
East Midlands,"3,381,253","2,192,201"
West Midlands,"3,920,172","2,857,342"
East of England,"4,201,093","2,852,802"
London,"5,592,430","4,152,216"
South East,"6,136,320","4,116,684"
South West,"4,125,795","2,350,779"
Scotland,"3,608,612","2,079,592"
Wales,"2,125,741","1,235,518"
TOTAL,"43,436,834","28,611,260"
