rgn2021+scotlandrgn_id,total
North East,"2,865,023"
North West,"8,227,064"
Yorkshire and The Humber,"6,027,458"
East Midlands,"5,573,454"
West Midlands,"6,777,514"
East of England,"7,053,894"
London,"9,744,647"
South East,"10,253,005"
South West,"6,476,573"
Scotland,"5,688,204"
Wales,"3,361,259"
TOTAL,"72,048,094"
