rgn2021+scotlandrgn_id,full_time,part_time,unemployed,students,non-working_age
North East,"990,964","312,588","683,629","120,370","896,404"
North West,"3,107,188","856,441","1,819,014","353,239","2,556,618"
Yorkshire and The Humber,"2,198,906","688,900","1,300,066","284,986","1,885,831"
East Midlands,"2,109,534","681,602","1,153,012","228,262","1,756,960"
West Midlands,"2,624,105","722,578","1,402,458","299,896","2,169,153"
East of England,"2,750,117","779,022","1,407,587","267,141","2,270,856"
London,"4,342,341","1,051,102","1,799,394","547,959","2,555,355"
South East,"4,106,044","1,230,228","1,833,376","367,011","3,299,566"
South West,"2,457,635","830,194","1,242,413","243,231","2,125,089"
Scotland,"2,094,418","616,580","1,228,690","151,673","1,642,576"
Wales,"1,208,504","375,416","754,956","147,351","993,712"
TOTAL,"27,989,754","8,144,651","14,624,594","3,011,118","22,152,121"
