rgn2021+scotlandrgn_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"658,533","1,479,413","727,076"
North West,"1,703,866","4,166,965","2,356,232"
Yorkshire and The Humber,"1,216,845","3,159,232","1,651,381"
East Midlands,"1,014,627","2,964,818","1,594,009"
West Midlands,"1,260,980","3,382,384","2,134,150"
East of England,"1,246,893","3,784,642","2,022,359"
London,"1,695,977","4,326,437","3,722,232"
South East,"1,752,026","5,525,444","2,975,536"
South West,"1,195,543","3,556,398","1,724,632"
Scotland,"1,194,626","3,008,964","1,484,615"
Wales,"702,073","1,723,313","935,873"
TOTAL,"13,641,990","37,078,010","21,328,094"
