rgn2021+scotlandrgn_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"509,437","1,039,871","1,315,715"
North West,"1,232,356","2,915,879","4,078,829"
Yorkshire and The Humber,"903,321","2,112,404","3,011,732"
East Midlands,"627,882","1,799,766","3,145,807"
West Midlands,"862,274","2,205,508","3,709,732"
East of England,"607,185","2,227,501","4,219,209"
London,"2,521,577","3,749,008","3,474,062"
South East,"816,220","3,034,141","6,402,644"
South West,"568,241","2,073,899","3,834,434"
Scotland,"608,988","2,177,690","2,901,527"
Wales,"395,330","1,138,701","1,827,227"
TOTAL,"9,652,810","24,474,368","37,920,916"
