rgn2021+scotlandrgn_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"1,912,032","1,091,923"
North West,"5,257,883","3,434,616"
Yorkshire and The Humber,"3,866,843","2,491,846"
East Midlands,"3,643,251","2,286,118"
West Midlands,"4,226,838","2,991,352"
East of England,"4,513,748","2,960,976"
London,"5,978,351","4,317,800"
South East,"6,576,086","4,260,138"
South West,"4,450,685","2,447,876"
Scotland,"3,674,157","2,059,780"
Wales,"2,220,519","1,259,418"
TOTAL,"46,320,395","29,601,843"
