rgn2021+scotlandrgn_id,SOC1,SOC2,SOC3,SOC4
North East,"596,400","448,530","218,455","1,631,851"
North West,"1,927,347","1,273,725","639,789","4,546,578"
Yorkshire and The Humber,"1,367,451","944,077","486,898","3,335,141"
East Midlands,"1,295,760","875,082","533,256","3,013,154"
West Midlands,"1,578,722","1,033,519","630,583","3,723,170"
East of England,"1,835,335","1,079,687","504,706","3,786,526"
London,"3,195,503","1,377,087","653,622","4,728,133"
South East,"2,922,192","1,593,703","655,545","5,273,084"
South West,"1,628,874","1,083,811","473,224","3,455,729"
Scotland,"1,394,600","916,093","390,205","3,019,498"
Wales,"738,879","560,292","248,075","1,857,882"
TOTAL,"18,481,063","11,185,607","5,434,357","38,370,747"
