rgn2021+scotlandrgn_id,total
North East,"2,895,237"
North West,"8,387,438"
Yorkshire and The Humber,"6,133,568"
East Midlands,"5,717,252"
West Midlands,"6,965,994"
East of England,"7,206,254"
London,"9,954,345"
South East,"10,444,524"
South West,"6,641,638"
Scotland,"5,720,397"
Wales,"3,405,128"
TOTAL,"73,471,773"
