rgn2021+scotlandrgn_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"620,848","1,179,668","792,869","236,160","2,428"
North West,"1,823,521","3,216,669","2,293,704","711,789","15,234"
Yorkshire and The Humber,"1,479,885","2,373,392","1,573,449","480,271","9,404"
East Midlands,"1,970,295","2,047,682","1,039,356","346,950","16,310"
West Midlands,"1,817,660","2,691,509","1,485,405","569,014","16,917"
East of England,"2,265,438","2,374,151","1,515,252","718,123","26,510"
London,"776,260","2,311,396","2,439,727","3,978,053","8,807"
South East,"3,183,756","3,243,060","2,265,620","1,325,498","41,740"
South West,"2,074,934","2,003,730","1,468,609","723,184","31,588"
Scotland,"1,502,311","2,193,763","1,489,292","440,948","13,037"
Wales,"1,047,212","1,135,212","890,860","233,024","7,334"
TOTAL,"18,562,121","24,770,233","17,254,142","9,763,013","189,309"
