rgn2021+scotlandrgn_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"657,673","1,253,105","834,847","255,647","2,682"
North West,"1,977,825","3,467,559","2,446,424","783,239","17,453"
Yorkshire and The Humber,"1,602,660","2,548,061","1,670,540","526,818","10,610"
East Midlands,"2,176,065","2,229,453","1,120,438","384,528","18,885"
West Midlands,"2,009,939","2,943,831","1,613,089","631,606","19,726"
East of England,"2,478,378","2,560,301","1,621,392","784,095","30,558"
London,"847,649","2,507,715","2,638,740","4,292,482","9,566"
South East,"3,464,602","3,470,646","2,405,968","1,446,922","48,087"
South West,"2,297,445","2,176,362","1,585,095","802,674","36,984"
Scotland,"1,535,756","2,229,348","1,494,760","459,895","14,177"
Wales,"1,108,202","1,187,297","927,294","249,160","7,984"
TOTAL,"20,156,195","26,573,678","18,358,586","10,617,067","216,712"
