rgn2021+scotlandrgn_id,male,female
North East,"1,449,199","1,504,913"
North West,"4,216,927","4,332,567"
Yorkshire and The Humber,"3,087,486","3,166,441"
East Midlands,"2,890,320","2,940,886"
West Midlands,"3,511,314","3,588,783"
East of England,"3,610,688","3,740,773"
London,"4,941,154","5,183,984"
South East,"5,231,696","5,425,439"
South West,"3,329,387","3,454,123"
Scotland,"2,770,563","2,965,315"
Wales,"1,691,623","1,754,487"
TOTAL,"36,730,358","38,057,711"
