rgn2021+scotlandrgn_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"1,772,562","1,059,411"
North West,"4,796,221","3,264,696"
Yorkshire and The Humber,"3,540,383","2,376,018"
East Midlands,"3,271,000","2,149,593"
West Midlands,"3,792,394","2,788,111"
East of England,"4,081,861","2,817,612"
London,"5,412,995","4,101,248"
South East,"5,979,510","4,080,163"
South West,"3,993,756","2,308,289"
Scotland,"3,545,996","2,093,355"
Wales,"2,080,957","1,232,685"
TOTAL,"42,267,635","28,271,182"
