rgn2021+scotlandrgn_id,Other,Economically active employment,Economically active unemployed,Economically active student employment,Economically active student unemployed,Economically inactive student,Economically inactive
North East,"455,070","1,224,076","47,007","46,975","12,382","117,396","929,066"
North West,"1,403,326","3,645,999","138,265","128,968","39,063","336,663","2,368,632"
Yorkshire and The Humber,"1,010,379","2,673,521","70,872","92,359","15,806","272,966","1,780,497"
East Midlands,"905,605","2,537,443","87,437","87,173","26,885","215,130","1,560,919"
West Midlands,"1,194,568","3,016,542","103,885","109,618","21,679","280,396","1,853,817"
East of England,"1,185,546","3,258,693","103,991","88,303","16,225","253,700","1,993,016"
London,"1,603,888","4,905,660","224,330","164,102","55,078","516,329","2,044,857"
South East,"1,695,324","4,954,421","138,173","157,375","34,969","351,474","2,727,936"
South West,"969,960","3,011,013","56,857","99,314","15,038","230,261","1,919,602"
Scotland,"814,478","2,690,407","84,558","69,173","14,819","154,410","1,811,506"
Wales,"500,696","1,487,417","41,855","54,503","8,137","143,471","1,077,563"
TOTAL,"11,738,840","33,405,192","1,097,231","1,097,864","260,084","2,872,195","20,067,411"
