rgn2021+scotlandrgn_id,total
North East,"3,003,955"
North West,"8,692,499"
Yorkshire and The Humber,"6,358,689"
East Midlands,"5,929,370"
West Midlands,"7,218,190"
East of England,"7,474,724"
London,"10,296,151"
South East,"10,836,225"
South West,"6,898,561"
Scotland,"5,733,937"
Wales,"3,479,937"
TOTAL,"75,922,238"
