rgn2021+scotlandrgn_id,Other,Economically active employment,Economically active unemployed,Economically active student employment,Economically active student unemployed,Economically inactive student,Economically inactive
North East,"458,242","1,220,968","46,890","46,480","12,345","117,058","963,038"
North West,"1,425,670","3,684,036","139,678","128,970","39,439","340,008","2,469,262"
Yorkshire and The Humber,"1,026,480","2,694,179","71,386","91,908","15,919","274,959","1,852,627"
East Midlands,"924,847","2,582,954","88,981","87,822","27,346","218,810","1,642,694"
West Midlands,"1,228,718","3,080,292","106,087","110,844","22,126","286,184","1,943,263"
East of England,"1,196,387","3,303,698","105,407","88,306","16,452","257,043","2,086,603"
London,"1,608,041","4,997,884","228,432","165,923","56,056","525,526","2,162,784"
South East,"1,707,856","4,997,011","139,407","156,552","35,260","354,367","2,862,553"
South West,"990,316","3,056,510","57,694","99,720","15,258","233,628","2,023,448"
Scotland,"808,309","2,669,485","83,873","67,791","14,700","153,166","1,890,879"
Wales,"498,499","1,495,863","42,092","54,224","8,180","144,226","1,118,174"
TOTAL,"11,873,364","33,782,881","1,109,927","1,098,541","263,082","2,904,975","21,015,325"
