rgn2021+scotlandrgn_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"690,453","1,525,080","738,579"
North West,"1,799,705","4,331,166","2,418,623"
Yorkshire and The Humber,"1,284,882","3,278,664","1,690,381"
East Midlands,"1,083,570","3,102,963","1,644,673"
West Midlands,"1,343,902","3,546,332","2,209,864"
East of England,"1,327,669","3,945,365","2,078,427"
London,"1,791,739","4,492,940","3,840,460"
South East,"1,865,193","5,744,282","3,047,660"
South West,"1,280,672","3,725,273","1,777,565"
Scotland,"1,230,277","3,033,325","1,472,277"
Wales,"732,539","1,767,203","946,368"
TOTAL,"14,430,600","38,492,591","21,864,876"
