rgn2021+scotlandrgn_id,male,female
North East,"1,405,902","1,459,121"
North West,"4,057,891","4,169,172"
Yorkshire and The Humber,"2,975,562","3,051,896"
East Midlands,"2,762,839","2,810,616"
West Midlands,"3,351,424","3,426,090"
East of England,"3,464,080","3,589,815"
London,"4,750,137","4,994,510"
South East,"5,033,486","5,219,519"
South West,"3,178,820","3,297,753"
Scotland,"2,755,489","2,932,716"
Wales,"1,651,594","1,709,665"
TOTAL,"35,387,223","36,660,871"
