rgn2021+scotlandrgn_id,SOC1,SOC2,SOC3,SOC4
North East,"585,444","460,975","224,632","1,560,921"
North West,"1,853,427","1,278,103","643,437","4,285,949"
Yorkshire and The Humber,"1,317,231","950,948","497,702","3,150,521"
East Midlands,"1,227,297","867,389","529,929","2,795,977"
West Midlands,"1,484,987","1,021,802","619,371","3,454,346"
East of England,"1,758,256","1,080,612","508,129","3,552,477"
London,"3,063,479","1,360,012","646,271","4,444,482"
South East,"2,836,570","1,610,074","665,152","4,947,877"
South West,"1,557,778","1,078,853","473,696","3,191,719"
Scotland,"1,389,636","951,898","418,046","2,879,771"
Wales,"718,295","569,045","254,580","1,771,722"
TOTAL,"17,792,399","11,229,712","5,480,945","36,035,762"
