rgn2021+scotlandrgn_id,aged 15 years and under,aged 16 to 74 years,aged 75 and over
North East,"455,070","2,055,879","321,024"
North West,"1,403,326","5,848,101","809,489"
Yorkshire and The Humber,"1,010,379","4,286,263","619,759"
East Midlands,"905,605","3,927,615","587,372"
West Midlands,"1,194,568","4,719,817","666,121"
East of England,"1,185,546","4,939,323","774,605"
London,"1,603,888","7,285,571","624,785"
South East,"1,695,324","7,223,868","1,140,481"
South West,"969,960","4,519,323","812,763"
Scotland,"814,478","4,165,096","659,777"
Wales,"500,696","2,421,528","391,419"
TOTAL,"11,738,840","51,392,382","7,407,594"
