rgn2021+scotlandrgn_id,total
North East,"1,334,410"
North West,"3,695,433"
Yorkshire and The Humber,"2,713,901"
East Midlands,"2,498,941"
West Midlands,"2,970,071"
East of England,"3,153,196"
London,"4,071,757"
South East,"4,529,233"
South West,"3,026,652"
Scotland,"2,759,496"
Wales,"1,536,237"
TOTAL,"32,289,327"
