rgn2021+scotlandrgn_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"1,003,973","297,887"
North West,"2,699,968","907,129"
Yorkshire and The Humber,"1,994,953","653,952"
East Midlands,"1,834,239","603,793"
West Midlands,"2,118,913","777,189"
East of England,"2,280,151","789,002"
London,"2,923,896","1,067,414"
South East,"3,273,155","1,133,015"
South West,"2,273,287","669,145"
Scotland,"2,085,242","653,295"
Wales,"1,157,183","353,144"
TOTAL,"23,644,960","7,904,966"
