rgn2021+scotlandrgn_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"421,842","348,796","342,646","164,461","24,116"
North West,"1,330,748","1,015,437","852,582","349,851","58,479"
Yorkshire and The Humber,"943,575","749,390","666,321","243,043","46,577"
East Midlands,"903,527","700,748","604,180","190,881","38,696"
West Midlands,"1,069,576","830,622","717,706","236,147","42,051"
East of England,"1,297,836","919,326","618,625","203,893","29,473"
London,"1,900,453","1,032,524","645,703","332,414","80,216"
South East,"2,055,919","1,290,604","756,306","256,421","46,920"
South West,"1,218,318","902,304","606,277","179,348","36,185"
Scotland,"1,024,352","790,983","638,183","245,149","39,871"
Wales,"540,532","451,003","366,456","128,964","23,372"
TOTAL,"12,706,678","9,031,737","6,814,983","2,530,572","465,956"
