rgn2021+scotlandrgn_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"264,836","517,431","341,563","155,501","1,588"
North West,"789,194","1,320,932","928,915","468,454","9,223"
Yorkshire and The Humber,"656,965","981,651","627,852","316,129","5,864"
East Midlands,"897,280","831,659","411,248","211,004","10,094"
West Midlands,"814,906","1,070,996","569,171","333,989","9,677"
East of England,"1,022,346","945,032","600,414","396,359","15,912"
London,"282,161","802,650","896,823","1,899,524","4,133"
South East,"1,408,293","1,255,679","870,388","728,040","24,392"
South West,"994,424","815,873","595,482","421,251","18,580"
Scotland,"737,126","1,022,922","664,015","270,870","7,837"
Wales,"490,065","471,722","368,089","146,710","4,132"
TOTAL,"8,357,598","10,036,547","6,873,960","5,347,831","111,430"
