rgn2021+scotlandrgn_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"442,037","365,662","356,785","168,986","24,941"
North West,"1,396,251","1,065,196","886,876","357,586","60,343"
Yorkshire and The Humber,"989,020","785,437","693,045","249,060","48,120"
East Midlands,"947,199","734,879","628,833","195,086","40,087"
West Midlands,"1,124,343","873,181","747,883","241,248","43,432"
East of England,"1,364,852","967,638","647,348","210,115","30,435"
London,"1,978,797","1,076,308","666,962","338,832","82,548"
South East,"2,165,535","1,359,736","790,641","263,535","48,758"
South West,"1,283,086","951,163","634,315","184,356","37,648"
Scotland,"1,037,484","801,846","643,848","243,608","39,893"
Wales,"558,534","466,050","375,074","129,607","23,812"
TOTAL,"13,287,137","9,447,098","7,071,611","2,582,019","480,018"
