rgn2021+scotlandrgn_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"488,017","649,688","164,156"
North West,"1,237,234","1,811,917","557,946"
Yorkshire and The Humber,"891,582","1,371,738","385,584"
East Midlands,"730,182","1,306,424","401,425"
West Midlands,"871,133","1,482,206","542,763"
East of England,"899,300","1,641,522","528,331"
London,"1,341,131","1,746,869","903,310"
South East,"1,257,334","2,399,292","749,544"
South West,"875,675","1,616,732","450,025"
Scotland,"879,375","1,358,408","500,755"
Wales,"490,164","780,421","239,742"
TOTAL,"9,961,128","16,165,216","5,423,582"
