rgn2021+scotlandrgn_id,total
North East,"1,280,920"
North West,"3,516,718"
Yorkshire and The Humber,"2,588,461"
East Midlands,"2,361,285"
West Midlands,"2,798,739"
East of England,"2,980,063"
London,"3,885,291"
South East,"4,286,791"
South West,"2,845,609"
Scotland,"2,702,770"
Wales,"1,480,719"
TOTAL,"30,727,367"
