rgn2021+scotlandrgn_id,total
North East,"1,301,861"
North West,"3,607,097"
Yorkshire and The Humber,"2,648,905"
East Midlands,"2,438,032"
West Midlands,"2,896,102"
East of England,"3,069,153"
London,"3,991,310"
South East,"4,406,170"
South West,"2,942,432"
Scotland,"2,738,537"
Wales,"1,510,327"
TOTAL,"31,549,926"
