rgn2021+scotlandrgn_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"283,616","550,958","359,720","162,465","1,653"
North West,"859,677","1,421,921","984,169","490,514","9,972"
Yorkshire and The Humber,"712,476","1,052,035","662,715","331,251","6,205"
East Midlands,"981,744","896,110","436,528","220,988","10,715"
West Midlands,"897,958","1,162,776","609,258","349,464","10,633"
East of England,"1,120,906","1,024,333","642,123","415,704","17,320"
London,"308,221","869,817","962,820","1,998,210","4,378"
South East,"1,545,007","1,358,927","930,031","767,562","26,679"
South West,"1,097,502","886,956","639,595","446,150","20,364"
Scotland,"761,769","1,053,231","674,386","269,065","8,229"
Wales,"522,036","495,469","382,546","148,711","4,315"
TOTAL,"9,090,913","10,772,533","7,283,891","5,600,084","120,463"
