rgn2021+scotlandrgn_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"414,957","342,500","336,915","162,562","23,986"
North West,"1,296,048","987,698","831,582","343,752","57,638"
Yorkshire and The Humber,"921,411","730,821","651,123","239,050","46,054"
East Midlands,"874,780","677,239","585,182","186,151","37,932"
West Midlands,"1,032,446","800,868","694,214","230,129","41,082"
East of England,"1,260,590","890,968","600,290","199,250","28,965"
London,"1,849,790","1,002,652","629,328","324,942","78,580"
South East,"2,000,217","1,253,113","735,910","251,310","46,242"
South West,"1,178,401","870,702","586,332","174,687","35,487"
Scotland,"1,011,406","779,000","628,773","243,590","40,001"
Wales,"529,602","441,095","359,427","127,403","23,192"
TOTAL,"12,369,648","8,776,658","6,639,076","2,482,825","459,159"
