rgn2021+scotlandrgn_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"1,031,420","302,991"
North West,"2,771,697","923,737"
Yorkshire and The Humber,"2,048,447","665,454"
East Midlands,"1,884,292","614,648"
West Midlands,"2,177,851","792,221"
East of England,"2,348,990","804,207"
London,"2,985,454","1,086,303"
South East,"3,373,238","1,155,995"
South West,"2,344,188","682,464"
Scotland,"2,104,791","654,705"
Wales,"1,178,724","357,513"
TOTAL,"24,249,090","8,040,237"
