rgn2021+scotlandrgn_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"496,829","669,516","168,066"
North West,"1,255,630","1,868,030","571,774"
Yorkshire and The Humber,"905,967","1,413,342","394,593"
East Midlands,"740,484","1,347,475","410,982"
West Midlands,"882,012","1,531,213","556,846"
East of England,"915,876","1,695,857","541,464"
London,"1,354,500","1,791,523","925,733"
South East,"1,278,868","2,481,572","768,794"
South West,"891,828","1,673,005","461,819"
Scotland,"880,252","1,375,106","504,137"
Wales,"492,751","799,381","244,105"
TOTAL,"10,094,997","16,646,018","5,548,313"
