rgn2021+scotlandrgn_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"498,183","687,506","172,723"
North West,"1,257,262","1,920,782","588,209"
Yorkshire and The Humber,"907,536","1,451,761","405,385"
East Midlands,"738,839","1,384,947","422,298"
West Midlands,"879,670","1,577,024","573,395"
East of England,"918,315","1,745,138","556,935"
London,"1,352,361","1,838,449","952,637"
South East,"1,280,623","2,556,408","791,174"
South West,"892,304","1,722,928","475,335"
Scotland,"867,469","1,387,845","511,366"
Wales,"486,163","816,472","250,442"
TOTAL,"10,078,724","17,089,260","5,699,899"
