rgn2021+scotlandrgn_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"472,501","623,983","161,307"
North West,"1,184,667","1,705,545","535,328"
Yorkshire and The Humber,"855,788","1,297,825","372,942"
East Midlands,"689,233","1,212,665","381,178"
West Midlands,"825,694","1,366,974","510,287"
East of England,"853,740","1,534,935","505,533"
London,"1,268,464","1,643,029","856,992"
South East,"1,199,778","2,251,008","721,808"
South West,"823,346","1,496,898","427,433"
Scotland,"847,245","1,311,061","498,489"
Wales,"474,962","741,935","232,842"
TOTAL,"9,495,417","15,185,857","5,204,139"
