rgn2021+scotlandrgn_id,total
North East,"1,358,412"
North West,"3,766,253"
Yorkshire and The Humber,"2,764,682"
East Midlands,"2,546,084"
West Midlands,"3,030,088"
East of England,"3,220,388"
London,"4,143,447"
South East,"4,628,205"
South West,"3,090,567"
Scotland,"2,766,680"
Wales,"1,553,077"
TOTAL,"32,867,883"
