rgn2021+scotlandrgn_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"258,999","507,442","337,060","152,734","1,556"
North West,"762,790","1,285,172","910,889","457,789","8,898"
Yorkshire and The Humber,"636,247","958,005","617,095","309,503","5,705"
East Midlands,"861,118","805,699","401,097","205,435","9,727"
West Midlands,"780,601","1,034,778","552,908","325,420","9,247"
East of England,"985,767","918,478","586,630","388,013","15,320"
London,"271,030","774,877","868,854","1,849,717","4,005"
South East,"1,359,540","1,223,685","853,134","712,750","23,486"
South West,"952,952","789,088","578,773","409,177","17,688"
Scotland,"719,224","1,004,365","658,923","266,790","7,493"
Wales,"476,054","462,580","362,708","144,355","4,041"
TOTAL,"8,064,322","9,764,169","6,728,072","5,221,683","107,168"
