rgn2021+scotlandrgn_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"277,116","540,873","353,752","161,017","1,652"
North West,"838,883","1,392,935","967,082","486,672","9,862"
Yorkshire and The Humber,"695,984","1,031,797","651,367","328,588","6,165"
East Midlands,"959,686","879,304","429,374","219,860","10,716"
West Midlands,"875,499","1,138,210","598,150","347,721","10,492"
East of England,"1,093,675","1,001,267","629,088","411,998","17,168"
London,"301,494","851,443","943,796","1,970,701","4,322"
South East,"1,506,134","1,327,205","910,238","759,296","26,361"
South West,"1,070,792","867,121","626,534","442,025","20,178"
Scotland,"757,817","1,049,030","671,825","272,561","8,262"
Wales,"514,181","489,550","378,573","149,609","4,323"
TOTAL,"8,891,262","10,568,735","7,159,778","5,550,049","119,504"
