rgn2021+scotlandrgn_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"256,177","526,738","518,946"
North West,"584,133","1,430,132","1,592,832"
Yorkshire and The Humber,"428,545","1,034,898","1,185,462"
East Midlands,"288,554","880,106","1,269,372"
West Midlands,"379,325","1,042,993","1,473,784"
East of England,"273,952","1,095,607","1,699,594"
London,"1,079,771","1,661,001","1,250,538"
South East,"367,153","1,480,895","2,558,123"
South West,"268,556","1,055,091","1,618,785"
Scotland,"296,729","1,148,566","1,293,242"
Wales,"187,784","569,782","752,762"
TOTAL,"4,410,678","11,925,809","15,213,439"
