rgn2021+scotlandrgn_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"236,823","525,890","571,698"
North West,"526,094","1,414,342","1,754,998"
Yorkshire and The Humber,"390,303","1,021,720","1,301,879"
East Midlands,"256,605","855,880","1,386,456"
West Midlands,"337,056","1,015,972","1,617,043"
East of England,"234,611","1,055,873","1,862,712"
London,"965,077","1,655,551","1,451,129"
South East,"309,418","1,407,415","2,812,400"
South West,"231,129","1,019,669","1,775,854"
Scotland,"253,931","1,116,099","1,389,465"
Wales,"166,783","553,979","815,475"
TOTAL,"3,907,829","11,642,390","16,739,109"
