rgn2021+scotlandrgn_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"985,182","295,738"
North West,"2,625,383","891,335"
Yorkshire and The Humber,"1,944,328","644,132"
East Midlands,"1,770,286","590,999"
West Midlands,"2,041,861","756,877"
East of England,"2,204,842","775,221"
London,"2,835,923","1,049,368"
South East,"3,171,397","1,115,394"
South West,"2,190,608","655,001"
Scotland,"2,049,855","652,915"
Wales,"1,131,736","348,983"
TOTAL,"22,951,401","7,775,966"
