rgn2021+scotlandrgn_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"1,049,822","308,589"
North West,"2,824,211","942,042"
Yorkshire and The Humber,"2,086,554","678,128"
East Midlands,"1,919,458","626,627"
West Midlands,"2,221,411","808,677"
East of England,"2,399,294","821,093"
London,"3,035,713","1,107,734"
South East,"3,446,665","1,181,540"
South West,"2,393,434","697,133"
Scotland,"2,108,937","657,743"
Wales,"1,190,576","362,501"
TOTAL,"24,676,075","8,191,809"
