rgn2021+scotlandrgn_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"432,902","358,312","351,145","167,517","24,533"
North West,"1,365,834","1,042,786","872,428","355,006","59,380"
Yorkshire and The Humber,"968,130","769,378","682,046","247,034","47,313"
East Midlands,"927,263","719,804","618,674","193,848","39,352"
West Midlands,"1,098,894","853,862","734,906","239,666","42,743"
East of England,"1,333,872","946,119","635,380","207,864","29,962"
London,"1,940,565","1,055,672","657,419","336,672","81,429"
South East,"2,115,062","1,328,966","776,300","261,097","47,809"
South West,"1,254,011","929,969","622,971","182,791","36,910"
Scotland,"1,033,027","798,614","643,130","244,927","39,798"
Wales,"550,683","459,887","372,219","129,875","23,573"
TOTAL,"13,020,242","9,263,370","6,966,617","2,566,296","472,802"
