rgn2021+scotlandrgn_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"291,059","525,735","440,997"
North West,"678,458","1,422,524","1,324,558"
Yorkshire and The Humber,"493,361","1,037,313","995,881"
East Midlands,"338,133","886,305","1,058,638"
West Midlands,"444,581","1,045,253","1,213,120"
East of England,"346,028","1,128,698","1,419,483"
London,"1,251,233","1,586,163","931,088"
South East,"476,624","1,563,462","2,132,507"
South West,"330,654","1,074,473","1,342,551"
Scotland,"368,889","1,165,528","1,122,378"
Wales,"223,092","581,004","645,643"
TOTAL,"5,242,110","12,016,459","12,626,844"
