rgn2021+scotlandrgn_id,total
North East,"1,257,791"
North West,"3,425,539"
Yorkshire and The Humber,"2,526,555"
East Midlands,"2,283,076"
West Midlands,"2,702,954"
East of England,"2,894,208"
London,"3,768,484"
South East,"4,172,594"
South West,"2,747,678"
Scotland,"2,656,795"
Wales,"1,449,739"
TOTAL,"29,885,414"
