rgn2021+scotlandrgn_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"212,736","515,629","630,046"
North West,"459,573","1,372,525","1,934,156"
Yorkshire and The Humber,"345,821","989,304","1,429,556"
East Midlands,"220,857","812,262","1,512,966"
West Midlands,"289,777","966,677","1,773,635"
East of England,"193,011","990,085","2,037,292"
London,"838,756","1,616,883","1,687,808"
South East,"250,449","1,295,359","3,082,397"
South West,"190,509","957,190","1,942,869"
Scotland,"210,542","1,062,007","1,494,131"
Wales,"143,080","525,690","884,307"
TOTAL,"3,355,111","11,103,610","18,409,162"
