,SOC1,SOC2,SOC3,SOC4
North East,"487,925","425,613","235,338","33,460"
North West,"1,736,999","1,339,420","729,321","110,033"
Yorkshire and The Humber,"1,181,547","958,954","575,645","79,393"
East Midlands,"1,051,941","831,512","560,189","72,982"
West Midlands,"1,313,428","1,021,799","652,730","88,288"
East of England,"1,462,005","1,080,056","601,811","92,229"
London,"3,579,449","1,636,531","952,891","182,278"
South East,"2,423,840","1,553,298","735,480","142,248"
South West,"1,348,268","1,046,499","520,343","89,848"
Scotland,"1,236,905","999,070","501,437","80,305"
Wales,"607,324","543,868","279,450","42,424"
TOTAL,"16,429,632","11,436,618","6,344,634","1,013,489"
