,SOC1,SOC2,SOC3,SOC4
North East,"507,197","431,722","238,786","34,300"
North West,"1,844,398","1,391,753","756,594","115,440"
Yorkshire and The Humber,"1,250,918","991,758","591,543","82,845"
East Midlands,"1,132,564","874,666","588,345","77,520"
West Midlands,"1,423,939","1,080,449","691,698","94,438"
East of England,"1,559,337","1,126,098","626,662","97,164"
London,"3,828,117","1,724,096","1,004,424","193,736"
South East,"2,554,200","1,603,509","758,689","148,399"
South West,"1,440,457","1,095,024","543,388","94,896"
Scotland,"1,232,910","973,444","482,599","78,883"
Wales,"632,514","553,162","283,138","43,556"
TOTAL,"17,406,551","11,845,681","6,565,864","1,061,175"
