,SOC1,SOC2,SOC3,SOC4
North East,"497,658","423,603","234,295","33,655"
North West,"1,809,713","1,365,580","742,365","113,269"
Yorkshire and The Humber,"1,227,393","973,107","580,418","81,287"
East Midlands,"1,111,265","858,217","577,281","76,062"
West Midlands,"1,397,161","1,060,130","678,690","92,662"
East of England,"1,530,012","1,104,920","614,877","95,337"
London,"3,756,125","1,691,673","985,535","190,092"
South East,"2,506,165","1,573,353","744,421","145,608"
South West,"1,413,367","1,074,431","533,169","93,111"
Scotland,"1,223,105","965,702","478,761","78,256"
Wales,"621,018","543,108","277,991","42,765"
TOTAL,"17,092,983","11,633,824","6,447,803","1,042,103"
