,SOC1,SOC2,SOC3,SOC4
North East,"491,692","418,524","231,486","33,251"
North West,"1,788,014","1,349,207","733,465","111,911"
Yorkshire and The Humber,"1,212,677","961,440","573,459","80,312"
East Midlands,"1,097,941","847,928","570,359","75,150"
West Midlands,"1,380,409","1,047,419","670,552","91,551"
East of England,"1,511,668","1,091,673","607,505","94,194"
London,"3,711,090","1,671,390","973,718","187,813"
South East,"2,476,117","1,554,489","735,495","143,862"
South West,"1,396,421","1,061,549","526,776","91,995"
Scotland,"1,228,433","969,910","480,847","78,597"
Wales,"618,057","540,518","276,666","42,561"
TOTAL,"16,912,520","11,514,045","6,380,328","1,031,196"
