lad2021+scotlandlad_id,male,female
North East,"1,330,846","1,380,534"
North West,"3,743,783","3,856,343"
Yorkshire and The Humber,"2,759,312","2,834,813"
East Midlands,"2,471,246","2,520,019"
West Midlands,"3,005,399","3,080,288"
East of England,"3,174,776","3,293,889"
London,"4,349,315","4,595,994"
South East,"4,652,252","4,830,255"
South West,"2,850,137","2,961,122"
Scotland,"2,642,465","2,797,590"
Wales,"1,555,414","1,608,990"
TOTAL,"32,534,946","33,759,836"
